 Types of current institution you are studying-,Gender,Current age in year,What is the name of your institution?,What class are you read in? ,What is your study group?,"Do you think if the course load will less/more than the current courses, your performance would be better/worst?",How many students in your in your SSC/ HSC/ Dhakil/ Alim class? ,Does anyone studied in madrasa from your family?,Who studied madrasa from your family members?,Is that your parents choice that is why you are studying in school/ Madrasa ?,What was your cost admitting to School/Madrasa/college?,What is your monthly fee in your school/Madrasa? ,What is your monthly fee in your school/Madrasa? .1,What is your father's profession?,What is your parents education status?,What is your mothers profession?,what types of house you are living?,In which subject you are more interested to study in your school/Madrasa? ,"According to your last year performance, in which subject you did very well? ",What is your marks range in mathematics for science/ict for Arts/ commerce(information and communications technology) from your last year final exam ? ) ,What is your marks range in English from your last year final exam ? ,"What was your ""JSC"" /JDC result?","If you are a ALIM/HSC student ,what was your SSC/ DAKHIL result?",Are you satisfied with your Math/Ict performance ? ,Are you satisfied with your English performance ? ,Do you speak English ? ,Do you think madrasa education system is better than school/College education system?(আপনি কি স্কুল শিক্ষা ব্যবস্থার চেয়ে মাদ্রাসা শিক্ষা ব্যবস্থাকে ভালো মনে করেন?),Do you have any intention to study at University (General Education) ? ,Did you participate in the Annual Math competition in your school/Madrasa?,Did you participate in the Annual  English writing competition in your school/Madrasa? ,How many hours you are doing  work(job) beside your study? ,During covid-19 did you study Math and English at your home? , Do you study Math and English to your private tutor?,Your private Tuition fee amount,"What strategy might be improving your Math and English skill, you think?",Did you study madrasa earlier?
School (বিদ্যালয়),Male (পুরুষ),17,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,around 200,Others(অন্যান্য),"Studied in school,colleges",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),Religious (ধর্মীয়),Religious  (ধর্মীয়),50-70%,50-70%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),Yes (হ্যাঁ),Yes (হ্যাঁ),Yes (হ্যাঁ),No (না),I am currently unemployed ( আমি বর্তমানে বেকার ),Not that much (অত বেশি না),No(না),1700,I have to give more time on my self to improve my skill,
School (বিদ্যালয়),Male (পুরুষ),16,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,Relatives,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,"Around 200 taka
",Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),Math (গণিত),Math  (গণিত),70-90%,50-70%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),No (না),"Even though I am studying in school, I mostly prefer Madrasa education system.(যদিও আমি স্কুলে পড়ি, আমি বেশিরভাগ মাদ্রাসা শিক্ষা পদ্ধতি পছন্দ করি।)",Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),Yes (হ্যাঁ),0-5 hours,Yes (হ্যাঁ),Yes  (হ্যাঁ),1400,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher,
School (বিদ্যালয়),Male (পুরুষ),16,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,Around 200,Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Housewife (গৃহিণী),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),Math (গণিত),Math  (গণিত),70-90%,30-50%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),Yes (হ্যাঁ),No (না),No (না),0-5 hours,Yes (হ্যাঁ),Yes  (হ্যাঁ),1300,I have to give more time on my self to improve my skill,
School (বিদ্যালয়),Male (পুরুষ),17,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,Around 100-200,Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Housewife (গৃহিণী),Roof house made of bricks ( ইট দিয়ে তৈরি  ছাদের বাড়ি),English (ইংরেজি),English (ইংরেজি),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),I don't understand the way my teacher teaching me English. (আমার শিক্ষক যেভাবে আমাকে ইংরেজি শেখাচ্ছেন তা আমি বুঝতে পারছি না।),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),Yes (হ্যাঁ),My school/Madrasa did not arrange such competition (আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),No (না),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),1400,I have to give more time on my self to improve my skill ,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,Brother,It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,200,Garments worker (গার্মেন্টস কর্মী),"Studied in school,colleges",Housewife (গৃহিণী),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),Math (গণিত),Math  (গণিত),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),No (না),No (না),No(না),Yes (হ্যাঁ),No (না),No (না),0-5 hours,Not that much (অত বেশি না),Yes  (হ্যাঁ),1400,If my teacher gives me more time on these subject my skill will be improved ,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,200,Others(অন্যান্য),"Studied in school,colleges",Housewife (গৃহিণী),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),Math (গণিত),Math  (গণিত),70-90%,70-90%,A-,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),No (না),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),No (না),No (না),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),900,I have to give more time on my self to improve my skill,
School (বিদ্যালয়),Male (পুরুষ),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,200,Private Employee (বেসরকারি কর্মচারী),"Used to go in maktab ,after certain ages didnot continue study",Housewife (গৃহিণী),Roof house made of bricks ( ইট দিয়ে তৈরি  ছাদের বাড়ি),English (ইংরেজি),Math  (গণিত),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),Yes (হ্যাঁ),No (না),No (না),I am currently unemployed ( আমি বর্তমানে বেকার ),I have studied other subject not Math at all. (আমি গণিত নয় অন্য বিষয়ে পড়াশোনা করেছি।),"I am using online platform(Facebook, YouTube) instead of learning from private tutor(আমি প্রাইভেট টিউটরের কাছ থেকে শেখার পরিবর্তে অনলাইন প্ল্যাটফর্ম (ফেস বুক, ইউটিউব) ব্যবহার করছি)",1000,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher,
School (বিদ্যালয়),Male (পুরুষ),14,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,Father,It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,200,Farmer (কৃষক),studied in Madrasa,Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),English (ইংরেজি),70-90%,70-90%,A+,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),Yes (হ্যাঁ),Yes (হ্যাঁ),No (না),0-5 hours,I have studied other subject not Math at all. (আমি গণিত নয় অন্য বিষয়ে পড়াশোনা করেছি।),"I am using online platform(Facebook, YouTube) instead of learning from private tutor(আমি প্রাইভেট টিউটরের কাছ থেকে শেখার পরিবর্তে অনলাইন প্ল্যাটফর্ম (ফেস বুক, ইউটিউব) ব্যবহার করছি)",1400,Our teacher should be trained ,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,Around 150-200,Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),Math  (গণিত),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),"Even though I am studying in school, I mostly prefer Madrasa education system.(যদিও আমি স্কুলে পড়ি, আমি বেশিরভাগ মাদ্রাসা শিক্ষা পদ্ধতি পছন্দ করি।)",Yes (হ্যাঁ),No (না),No (না),0-5 hours,Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),900,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,"Brother, Relatives",It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,200,Small business man (ছোট ব্যবসায়ী),studied in Madrasa,Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),Math  (গণিত),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),Yes (হ্যাঁ),I want to study in my local area not outside of my village area (আমি আমার গ্রামের এলাকার বাইরে নয় আমার স্থানীয় এলাকায় পড়াশোনা করতে চাই),Yes (হ্যাঁ),No (না),0-5 hours,Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,200,Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Housewife (গৃহিণী),House made of bricks with Tin roof (টিনের  ছাওনিসহ ইট দিয়ে তৈরি ঘর),English (ইংরেজি),Math  (গণিত),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),No (না),No (না),"Even though I am studying in school, I mostly prefer Madrasa education system.(যদিও আমি স্কুলে পড়ি, আমি বেশিরভাগ মাদ্রাসা শিক্ষা পদ্ধতি পছন্দ করি।)",Yes (হ্যাঁ),No (না),No (না),0-5 hours,Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),600,I have to give more time on my self to improve my skill ,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,Sister,It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,250,Small business man (ছোট ব্যবসায়ী),Did not study at all,Garments worker (গার্মেন্টস কর্মী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),Math  (গণিত),70-90%,70-90%,A,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),Yes (হ্যাঁ),Yes (হ্যাঁ),My school/Madrasa did not arrange such competition(আমার স্কুল/মাদ্রাসা এমন প্রতিযোগিতার আয়োজন করেনি),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),800,I have to give more time on my self to improve my skill,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,"Sister, Relatives",My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,150-200,Others(অন্যান্য),,Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),Math  (গণিত),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,I don't understand the way my teacher teaching me Math. (আমার শিক্ষক যেভাবে আমাকে গণিত শেখান তা আমি বুঝতে পারি না।),Yes (হ্যাঁ),Yes  (হ্যাঁ),No(না),Yes (হ্যাঁ),No (না),No (না),0-5 hours,Sometimes (মাঝে মাঝে),Yes  (হ্যাঁ),1200,I need to take private tutor to improve my skill because i am afraid of my school/Madrasa teacher,
School (বিদ্যালয়),Female (মহিলা),15,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,No,No one,My parents choice that is why I am studying in School (আমার বাবা-মায়ের পছন্দ তাই আমি স্কুলে পড়ছি),500-1000Taka,700-900 Taka,200,Small business man (ছোট ব্যবসায়ী),"Studied in school,colleges",Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),English (ইংরেজি),English (ইংরেজি),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),Yes (হ্যাঁ),Yes (হ্যাঁ),No (না),No (না),0-5 hours,No (না),No(না),700,I have to give more time on my self to improve my skill ,
School (বিদ্যালয়),Male (পুরুষ),16,Patlashi Abdul Halim Khan Dakhil Madrasa,SSC / Dakhil  (দাখিল ছাত্র),Science (বিজ্ঞান),,49,Yes,Sister,It was my choice that is why i am studying in school,500-1000Taka,700-900 Taka,200,Farmer (কৃষক),studied in Madrasa,Housewife (গৃহিণী),Mud house interior( টিন দিয়ে মাটির তৈরি ঘর),Math (গণিত),English (ইংরেজি),70-90%,70-90%,I got Auto pass because of Covid-19 pandemic,currently i am studying in class 10,Yes (হ্যাঁ),Yes (হ্যাঁ),I can speak English a little bit but am not fluent(আমি একটু একটু ইংরেজি বলতে পারি কিন্তু সাবলীল নই),No(না),Yes (হ্যাঁ),No (না),No (না),I am currently unemployed ( আমি বর্তমানে বেকার ),Sometimes (মাঝে মাঝে),No(না),800,I have to give more time on my self to improve my skill ,
