BDT Per Billon,index,2018,2019,2020,2021,2022
Capital Expenditures (Other Assets),4.0,,,,,
Net Assets from Acquisitions,5.0,,,,,
Sale of Fixed Assets & Businesses,6.0,850.0,,,,
Purchase/Sale of Investments,7.0,,,,,
Purchase of Investments,8.0,,,,,
Sale/Maturity of Investments,9.0,,,,,
Other Uses,"index    index     10\n2018     NaN\n2019     NaN\n2020...
2018     index     10\n2018     NaN\n2019     NaN\n2020...
2019     index     10\n2018     NaN\n2019     NaN\n2020...
2020     index     10\n2018     NaN\n2019     NaN\n2020...
2021     index     10\n2018     NaN\n2019     NaN\n2020...
2022     index     10\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     10\n2018     NaN\n2019     NaN\n2020...
2018     index     10\n2018     NaN\n2019     NaN\n2020...
2019     index     10\n2018     NaN\n2019     NaN\n2020...
2020     index     10\n2018     NaN\n2019     NaN\n2020...
2021     index     10\n2018     NaN\n2019     NaN\n2020...
2022     index     10\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     10\n2018     NaN\n2019     NaN\n2020...
2018     index     10\n2018     NaN\n2019     NaN\n2020...
2019     index     10\n2018     NaN\n2019     NaN\n2020...
2020     index     10\n2018     NaN\n2019     NaN\n2020...
2021     index     10\n2018     NaN\n2019     NaN\n2020...
2022     index     10\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     10\n2018     NaN\n2019     NaN\n2020...
2018     index     10\n2018     NaN\n2019     NaN\n2020...
2019     index     10\n2018     NaN\n2019     NaN\n2020...
2020     index     10\n2018     NaN\n2019     NaN\n2020...
2021     index     10\n2018     NaN\n2019     NaN\n2020...
2022     index     10\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     10\n2018     NaN\n2019     NaN\n2020...
2018     index     10\n2018     NaN\n2019     NaN\n2020...
2019     index     10\n2018     NaN\n2019     NaN\n2020...
2020     index     10\n2018     NaN\n2019     NaN\n2020...
2021     index     10\n2018     NaN\n2019     NaN\n2020...
2022     index     10\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     10\n2018     NaN\n2019     NaN\n2020...
2018     index     10\n2018     NaN\n2019     NaN\n2020...
2019     index     10\n2018     NaN\n2019     NaN\n2020...
2020     index     10\n2018     NaN\n2019     NaN\n2020...
2021     index     10\n2018     NaN\n2019     NaN\n2020...
2022     index     10\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object"
Other Sources,"index    index     11\n2018     NaN\n2019     NaN\n2020...
2018     index     11\n2018     NaN\n2019     NaN\n2020...
2019     index     11\n2018     NaN\n2019     NaN\n2020...
2020     index     11\n2018     NaN\n2019     NaN\n2020...
2021     index     11\n2018     NaN\n2019     NaN\n2020...
2022     index     11\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     11\n2018     NaN\n2019     NaN\n2020...
2018     index     11\n2018     NaN\n2019     NaN\n2020...
2019     index     11\n2018     NaN\n2019     NaN\n2020...
2020     index     11\n2018     NaN\n2019     NaN\n2020...
2021     index     11\n2018     NaN\n2019     NaN\n2020...
2022     index     11\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     11\n2018     NaN\n2019     NaN\n2020...
2018     index     11\n2018     NaN\n2019     NaN\n2020...
2019     index     11\n2018     NaN\n2019     NaN\n2020...
2020     index     11\n2018     NaN\n2019     NaN\n2020...
2021     index     11\n2018     NaN\n2019     NaN\n2020...
2022     index     11\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     11\n2018     NaN\n2019     NaN\n2020...
2018     index     11\n2018     NaN\n2019     NaN\n2020...
2019     index     11\n2018     NaN\n2019     NaN\n2020...
2020     index     11\n2018     NaN\n2019     NaN\n2020...
2021     index     11\n2018     NaN\n2019     NaN\n2020...
2022     index     11\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     11\n2018     NaN\n2019     NaN\n2020...
2018     index     11\n2018     NaN\n2019     NaN\n2020...
2019     index     11\n2018     NaN\n2019     NaN\n2020...
2020     index     11\n2018     NaN\n2019     NaN\n2020...
2021     index     11\n2018     NaN\n2019     NaN\n2020...
2022     index     11\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     11\n2018     NaN\n2019     NaN\n2020...
2018     index     11\n2018     NaN\n2019     NaN\n2020...
2019     index     11\n2018     NaN\n2019     NaN\n2020...
2020     index     11\n2018     NaN\n2019     NaN\n2020...
2021     index     11\n2018     NaN\n2019     NaN\n2020...
2022     index     11\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object"
Net Investing Cash Flow,12.0,1390000.0,1080000.0,1190000.0,845730.0,927300.0
Net Investing Cash Flow Growth,13.0,,0.2271,-0.10779999999999999,0.2912,-0.0965
Net Investing Cash Flow / Sales,14.0,-0.0874,-0.0681,-0.10099999999999999,-0.0719,-0.07150000000000001
Cash Dividends Paid - Total,0.0,56500.0,62010.0,63900.0,22360.0,54710.0
Common Dividends,1.0,56500.0,62010.0,63900.0,22360.0,54710.0
Preferred Dividends,2.0,,,,,
Change in Capital Stock,3.0,,,,,
Repurchase of Common & Preferred Stk.,4.0,,,,,
Sale of Common & Preferred Stock,5.0,,,,,
Proceeds from Stock Options,6.0,,,,,
Other Proceeds from Sale of Stock,7.0,,,,,
"Issuance/Reduction of Debt, Net",8.0,726810.0,851870.0,928120.0,480010.0,2170000.0
Change in Current Debt,9.0,,,,,
Change in Long-Term Debt,10.0,,,,,
Issuance of Long-Term Debt,11.0,,,,,
Reduction in Long-Term Debt,12.0,,,,,
Other Funds,"index    index     13\n2018     NaN\n2019     NaN\n2020...
2018     index     13\n2018     NaN\n2019     NaN\n2020...
2019     index     13\n2018     NaN\n2019     NaN\n2020...
2020     index     13\n2018     NaN\n2019     NaN\n2020...
2021     index     13\n2018     NaN\n2019     NaN\n2020...
2022     index     13\n2018     NaN\n2019     NaN\n2020...
Name: Other Funds, dtype: object","index    index     13\n2018     NaN\n2019     NaN\n2020...
2018     index     13\n2018     NaN\n2019     NaN\n2020...
2019     index     13\n2018     NaN\n2019     NaN\n2020...
2020     index     13\n2018     NaN\n2019     NaN\n2020...
2021     index     13\n2018     NaN\n2019     NaN\n2020...
2022     index     13\n2018     NaN\n2019     NaN\n2020...
Name: Other Funds, dtype: object","index    index     13\n2018     NaN\n2019     NaN\n2020...
2018     index     13\n2018     NaN\n2019     NaN\n2020...
2019     index     13\n2018     NaN\n2019     NaN\n2020...
2020     index     13\n2018     NaN\n2019     NaN\n2020...
2021     index     13\n2018     NaN\n2019     NaN\n2020...
2022     index     13\n2018     NaN\n2019     NaN\n2020...
Name: Other Funds, dtype: object","index    index     13\n2018     NaN\n2019     NaN\n2020...
2018     index     13\n2018     NaN\n2019     NaN\n2020...
2019     index     13\n2018     NaN\n2019     NaN\n2020...
2020     index     13\n2018     NaN\n2019     NaN\n2020...
2021     index     13\n2018     NaN\n2019     NaN\n2020...
2022     index     13\n2018     NaN\n2019     NaN\n2020...
Name: Other Funds, dtype: object","index    index     13\n2018     NaN\n2019     NaN\n2020...
2018     index     13\n2018     NaN\n2019     NaN\n2020...
2019     index     13\n2018     NaN\n2019     NaN\n2020...
2020     index     13\n2018     NaN\n2019     NaN\n2020...
2021     index     13\n2018     NaN\n2019     NaN\n2020...
2022     index     13\n2018     NaN\n2019     NaN\n2020...
Name: Other Funds, dtype: object","index    index     13\n2018     NaN\n2019     NaN\n2020...
2018     index     13\n2018     NaN\n2019     NaN\n2020...
2019     index     13\n2018     NaN\n2019     NaN\n2020...
2020     index     13\n2018     NaN\n2019     NaN\n2020...
2021     index     13\n2018     NaN\n2019     NaN\n2020...
2022     index     13\n2018     NaN\n2019     NaN\n2020...
Name: Other Funds, dtype: object"
Other Uses,"index    index     14\n2018     NaN\n2019     NaN\n2020...
2018     index     14\n2018     NaN\n2019     NaN\n2020...
2019     index     14\n2018     NaN\n2019     NaN\n2020...
2020     index     14\n2018     NaN\n2019     NaN\n2020...
2021     index     14\n2018     NaN\n2019     NaN\n2020...
2022     index     14\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     14\n2018     NaN\n2019     NaN\n2020...
2018     index     14\n2018     NaN\n2019     NaN\n2020...
2019     index     14\n2018     NaN\n2019     NaN\n2020...
2020     index     14\n2018     NaN\n2019     NaN\n2020...
2021     index     14\n2018     NaN\n2019     NaN\n2020...
2022     index     14\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     14\n2018     NaN\n2019     NaN\n2020...
2018     index     14\n2018     NaN\n2019     NaN\n2020...
2019     index     14\n2018     NaN\n2019     NaN\n2020...
2020     index     14\n2018     NaN\n2019     NaN\n2020...
2021     index     14\n2018     NaN\n2019     NaN\n2020...
2022     index     14\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     14\n2018     NaN\n2019     NaN\n2020...
2018     index     14\n2018     NaN\n2019     NaN\n2020...
2019     index     14\n2018     NaN\n2019     NaN\n2020...
2020     index     14\n2018     NaN\n2019     NaN\n2020...
2021     index     14\n2018     NaN\n2019     NaN\n2020...
2022     index     14\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     14\n2018     NaN\n2019     NaN\n2020...
2018     index     14\n2018     NaN\n2019     NaN\n2020...
2019     index     14\n2018     NaN\n2019     NaN\n2020...
2020     index     14\n2018     NaN\n2019     NaN\n2020...
2021     index     14\n2018     NaN\n2019     NaN\n2020...
2022     index     14\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object","index    index     14\n2018     NaN\n2019     NaN\n2020...
2018     index     14\n2018     NaN\n2019     NaN\n2020...
2019     index     14\n2018     NaN\n2019     NaN\n2020...
2020     index     14\n2018     NaN\n2019     NaN\n2020...
2021     index     14\n2018     NaN\n2019     NaN\n2020...
2022     index     14\n2018     NaN\n2019     NaN\n2020...
Name: Other Uses, dtype: object"
Other Sources,"index    index     15\n2018     NaN\n2019     NaN\n2020...
2018     index     15\n2018     NaN\n2019     NaN\n2020...
2019     index     15\n2018     NaN\n2019     NaN\n2020...
2020     index     15\n2018     NaN\n2019     NaN\n2020...
2021     index     15\n2018     NaN\n2019     NaN\n2020...
2022     index     15\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     15\n2018     NaN\n2019     NaN\n2020...
2018     index     15\n2018     NaN\n2019     NaN\n2020...
2019     index     15\n2018     NaN\n2019     NaN\n2020...
2020     index     15\n2018     NaN\n2019     NaN\n2020...
2021     index     15\n2018     NaN\n2019     NaN\n2020...
2022     index     15\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     15\n2018     NaN\n2019     NaN\n2020...
2018     index     15\n2018     NaN\n2019     NaN\n2020...
2019     index     15\n2018     NaN\n2019     NaN\n2020...
2020     index     15\n2018     NaN\n2019     NaN\n2020...
2021     index     15\n2018     NaN\n2019     NaN\n2020...
2022     index     15\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     15\n2018     NaN\n2019     NaN\n2020...
2018     index     15\n2018     NaN\n2019     NaN\n2020...
2019     index     15\n2018     NaN\n2019     NaN\n2020...
2020     index     15\n2018     NaN\n2019     NaN\n2020...
2021     index     15\n2018     NaN\n2019     NaN\n2020...
2022     index     15\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     15\n2018     NaN\n2019     NaN\n2020...
2018     index     15\n2018     NaN\n2019     NaN\n2020...
2019     index     15\n2018     NaN\n2019     NaN\n2020...
2020     index     15\n2018     NaN\n2019     NaN\n2020...
2021     index     15\n2018     NaN\n2019     NaN\n2020...
2022     index     15\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object","index    index     15\n2018     NaN\n2019     NaN\n2020...
2018     index     15\n2018     NaN\n2019     NaN\n2020...
2019     index     15\n2018     NaN\n2019     NaN\n2020...
2020     index     15\n2018     NaN\n2019     NaN\n2020...
2021     index     15\n2018     NaN\n2019     NaN\n2020...
2022     index     15\n2018     NaN\n2019     NaN\n2020...
Name: Other Sources, dtype: object"
Net Financing Cash Flow,16.0,670310.0,789850.0,386710.0,93030.0,1320000.0
Net Financing Cash Flow Growth,17.0,,0.1783,-0.5104,-0.7594,"1,314.41%"
Net Financing Cash Flow / Sales,18.0,0.042,0.05,0.0327,0.0079,0.1014
Exchange Rate Effect,19.0,503.55,1170.0,848.5,1130.0,2170.0
Miscellaneous Funds,20.0,,,,,
Net Change in Cash,21.0,256490.0,24010.0,43180.0,16580.0,22990.0
Free Cash Flow,22.0,928150.0,815030.0,429040.0,75320.0,1290000.0
Free Cash Flow Growth,23.0,,0.1219,0.4736,0.8245,"-1,613.67%"
Free Cash Flow Yield,24.0,,,,,-41.95
